"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"149894",,"13","false",,"","stein ea",,"19921015","","30","false","stein ea",,"author",
"149897",,"1","false",,"","xu f",,"20010601","","4","false","xu f",,"author",
"149898",,"0","false",,"","scott r",,,"","0","false","scott r",,"author",
"149895",,"1","false",,"","honarpour n",,"20131105","","3","false","honarpour n",,"author",
"149896",,"15","false",,"","wasserman sm",,"20120327","","22","false","wasserman sm",,"author",
"149899",,"6","false",,"","raal fj",,"19980116","","18","false","raal fj",,"author",
"149910",,"3","false",,"","giugliano rp",,"20050601","","8","false","giugliano rp",,"author",
"149913",,"3","false",,"","rogers wj",,"20121208","","4","false","rogers wj",,"author",
"149914",,"6","false",,"","somaratne r",,"20120701","","8","false","somaratne r",,"author",
"149911",,"2","false",,"","desai nr",,"20120701","","3","false","desai nr",,"author",
"149912",,"2","false",,"","kohli p",,"20120701","","4","false","kohli p",,"author",
"149917",,"2","false",,"","mohanavelu s",,"20080906","","3","false","mohanavelu s",,"author",
"149918",,"1","false",,"","hoffman eb",,"20121208","","2","false","hoffman eb",,"author",
"149915",,"0","false",,"","huang f",,,"","0","false","huang f",,"author",
"149916",,"2","false",,"","liu t",,"20121208","","3","false","liu t",,"author",
"149921",,"3","false",,"","sabatine ms",,"20110622","","6","false","sabatine ms",,"author",
"149922",,"1","false",,"","laplace-timi 57 investigators",,"20121208","","1","false","laplace-timi 57 investigators",,"author",
"149919",,"2","false",,"","mcdonald st",,"20120701","","2","false","mcdonald st",,"author",
"149920",,"2","false",,"","abrahamsen te",,"20120701","","2","false","abrahamsen te",,"author",
"149933",,"3","false",,"","gagne c",,"19890301","","7","false","gagne c",,"author",
"149934",,"3","false",,"","gaudet d",,"20020528","","8","false","gaudet d",,"author",
"149935",,"3","false",,"","bruckert e",,"19990717","","11","false","bruckert e",,"author",
"149936",,"1","false",,"","ezetimibe study grp",,"20020528","","2","false","ezetimibe study grp",,"author",
"149950",,"0","false",,"","santos rd",,"20080401","","11","false","santos rd",,"author",
"149948",,"0","false",,"","goldstein jl",,"19760101","","35","false","goldstein jl",,"author",
"149953",,"0","false",,"","charng mj",,"20100320","","1","false","charng mj",,"author",
"149954",,"0","false",,"","cromwell wc",,"20100320","","1","false","cromwell wc",,"author",
