"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"245746",,"0","false",,"","gao f",,"20070601","","3","false","gao f",,"author",
"245745",,"0","false",,"","sand tm",,"20070601","","6","false","sand tm",,"author",
"245744",,"0","false",,"","bourassa pa",,"20070601","","3","false","bourassa pa",,"author",
"245743",,"0","false",,"","sugarman ed",,"20070601","","3","false","sugarman ed",,"author",
"245747",,"0","false",,"","milici aj",,"20070601","","3","false","milici aj",,"author",
"245754",,"0","false",,"","knoke jd",,"19890101","","3","false","knoke jd",,"author",
"245753",,"0","false",,"","garrison rj",,"19890101","","3","false","garrison rj",,"author",
"245755",,"0","false",,"","bangdiwala s",,"19890101","","3","false","bangdiwala s",,"author",
"245766",,"0","false",,"","hennekens ch",,"19930520","","4","false","hennekens ch",,"author",
"245782",,"0","false",,"","linz p",,"20100317","","0","false","linz p",,"author",
"245781",,"0","false",,"","crouse jr",,"20100317","","0","false","crouse jr",,"author",
"245780",,"0","false",,"","elam mb",,"19990805","","9","false","elam mb",,"author",
"245786",,"0","false",,"","ismail-beigi f",,"20100317","","0","false","ismail-beigi f",,"author",
"245785",,"0","false",,"","grimm rh",,"20021218","","7","false","grimm rh",,"author",
"245784",,"0","false",,"","gerstein hc",,"20100317","","0","false","gerstein hc",,"author",
"245783",,"0","false",,"","buse jb",,"20100317","","0","false","buse jb",,"author",
"245790",,"1","false",,"","byington rp",,"20001017","","2","false","byington rp",,"author",
"245789",,"0","false",,"","simons-morton dg",,"20100317","","0","false","simons-morton dg",,"author",
"245788",,"0","false",,"","cushman wc",,"20021218","","7","false","cushman wc",,"author",
"245787",,"0","false",,"","bigger jt",,"20100317","","0","false","bigger jt",,"author",
"245794",,"1","false",,"","lee hj",,"20041207","","4","false","lee hj",,"author",
"245793",,"1","false",,"","sullenberger le",,"20041207","","4","false","sullenberger le",,"author",
"245792",,"1","false",,"","taylor aj",,"20041207","","12","false","taylor aj",,"author",
"245796",,"0","false",,"","grace ka",,"20041207","","2","false","grace ka",,"author",
"245795",,"0","false",,"","lee jk",,"20041207","","2","false","lee jk",,"author",
"245802",,"0","false",,"","rubins hb",,"19990805","","2","false","rubins hb",,"author",
"245806",,"0","false",,"","linares e",,"19990805","","2","false","linares e",,"author",
"245805",,"0","false",,"","faas fh",,"19990805","","2","false","faas fh",,"author",
"245804",,"0","false",,"","anderson jw",,"19990805","","2","false","anderson jw",,"author",
"245803",,"0","false",,"","fye cl",,"19990805","","2","false","fye cl",,"author",
"245809",,"0","false",,"","vet affairs high-density lipoprotein chole",,"19990805","","2","false","vet affairs high-density lipoprotein chole",,"author",
"245808",,"0","false",,"","wilt tj",,"19990805","","2","false","wilt tj",,"author",
"245807",,"0","false",,"","schectman g",,"19990805","","2","false","schectman g",,"author",
"245826",,"0","false",,"","huang yd",,"19960701","","10","false","huang yd",,"author",
"245825",,"0","false",,"","voneckardstein a",,"19960701","","2","false","voneckardstein a",,"author",
"245824",,"0","false",,"","schulte h",,"19960701","","2","false","schulte h",,"author",
"245830",,"0","false",,"","khot un",,"20030821","","2","false","khot un",,"author",
"245834",,"0","false",,"","ohman em",,"20030821","","2","false","ohman em",,"author",
"245833",,"0","false",,"","sapp sk",,"20030821","","2","false","sapp sk",,"author",
"245832",,"0","false",,"","bajzer ct",,"20030821","","2","false","bajzer ct",,"author",
"245831",,"0","false",,"","khot mb",,"20030821","","2","false","khot mb",,"author",
"245837",,"0","false",,"","lincoff am",,"20030821","","2","false","lincoff am",,"author",
"245836",,"0","false",,"","ellis sg",,"20030821","","2","false","ellis sg",,"author",
"245835",,"0","false",,"","brener sj",,"20030821","","2","false","brener sj",,"author",
"245842",,"0","false",,"","phan ba",,"20110917","","2","false","phan ba",,"author",
"245841",,"0","false",,"","hatsukami t",,"20110917","","2","false","hatsukami t",,"author",
"245840",,"0","false",,"","dong l",,"20110917","","2","false","dong l",,"author",
"245846",,"0","false",,"","neradilek mb",,"20110917","","2","false","neradilek mb",,"author",
"245845",,"0","false",,"","lane t",,"20110917","","2","false","lane t",,"author",
"245844",,"0","false",,"","moore a",,"20110917","","2","false","moore a",,"author",
"245843",,"0","false",,"","chu b",,"20110917","","2","false","chu b",,"author",
"245850",,"0","false",,"","underhill h",,"20110917","","2","false","underhill h",,"author",
"245849",,"0","false",,"","lee c",,,"","0","false","lee c",,"author",
"245848",,"0","false",,"","monick d",,"20110917","","2","false","monick d",,"author",
"245847",,"0","false",,"","polissar n",,"20110917","","2","false","polissar n",,"author",
"245854",,"0","false",,"","ambegaonkar bm",,"20091215","","2","false","ambegaonkar bm",,"author",
"245853",,"0","false",,"","nichols ga",,"20091215","","2","false","nichols ga",,"author",
"245851",,"0","false",,"","yuan c",,"20110917","","2","false","yuan c",,"author",
"245856",,"0","false",,"","brown jb",,"20091215","","2","false","brown jb",,"author",
"245855",,"0","false",,"","sazonov v",,"20091215","","2","false","sazonov v",,"author",
"245862",,"1","false",,"","morse js",,"20020105","","2","false","morse js",,"author",
"245861",,"1","false",,"","fisher ld",,"20020105","","2","false","fisher ld",,"author",
"245860",,"1","false",,"","brown bg",,"20020105","","2","false","brown bg",,"author",
"245865",,"1","false",,"","bolson el",,"20020105","","2","false","bolson el",,"author",
"245864",,"1","false",,"","marino ek",,"20020105","","2","false","marino ek",,"author",
"245863",,"1","false",,"","dowdy aa",,"20020105","","2","false","dowdy aa",,"author",
"245870",,"0","false",,"","villines tc",,"20100615","","2","false","villines tc",,"author",
"245874",,"0","false",,"","weissman nj",,"20100615","","2","false","weissman nj",,"author",
"245873",,"0","false",,"","turco m",,"20100615","","2","false","turco m",,"author",
"245872",,"0","false",,"","devine pj",,"20100615","","2","false","devine pj",,"author",
"245871",,"0","false",,"","stanek ej",,"20100615","","2","false","stanek ej",,"author",
"245875",,"0","false",,"","griffen l",,"20100615","","2","false","griffen l",,"author",
"245886",,"0","false",,"","labreuche j",,"20100601","","2","false","labreuche j",,"author",
"245894",,"1","false",,"","berge kg",,"19861201","","2","false","berge kg",,"author",
