"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"155631",,"0","false",,"","CLIN RES CTR,CLIN MASS SPECTROMETRY SECT,HARROW HA1 3UJ,MIDDX,ENGLAND",,"19870401","","1","true","CLIN RES CTR,CLIN MASS SPECTROMETRY SECT,HARROW HA1 3UJ,MIDDX,ENGLAND",,"institution",
"155632",,"0","false",,"","CLIN RES CTR",,"19870401","","1","true","CLIN RES CTR",,"institution",
"155637",,"0","false",,"","UNIV MILAN",,"19900801","","1","true","UNIV MILAN",,"institution",
"155635",,"0","false",,"","CHILDRENS HOSP MED CTR,DIV PEDIAT,ELLAND & BETHESDA AVE,CINCINNATI,OH 45229",,"19900801","","1","true","CHILDRENS HOSP MED CTR,DIV PEDIAT,ELLAND & BETHESDA AVE,CINCINNATI,OH 45229",,"institution",
"155636",,"0","false",,"","UNIV MILAN,DEPT PEDIAT,I-20122 MILAN,ITALY",,"19900801","","1","true","UNIV MILAN,DEPT PEDIAT,I-20122 MILAN,ITALY",,"institution",
"155640",,"0","false",,"","UNIV PENN,SCH MED,DEPT PHARMACOL,37TH & HAMILTON WALK,PHILADELPHIA,PA 19104",,"19910515","","1","true","UNIV PENN,SCH MED,DEPT PHARMACOL,37TH & HAMILTON WALK,PHILADELPHIA,PA 19104",,"institution",
"155648",,"0","false",,"","HUDDINGE UNIV HOSP,DEPT CLIN CHEM,S-14186 HUDDINGE,SWEDEN",,"19890605","","1","true","HUDDINGE UNIV HOSP,DEPT CLIN CHEM,S-14186 HUDDINGE,SWEDEN",,"institution",
"155653",,"0","false",,"","KAROLINSKA INST,DEPT CHEM,S-10401 STOCKHOLM 60,SWEDEN",,"19770101","","1","true","KAROLINSKA INST,DEPT CHEM,S-10401 STOCKHOLM 60,SWEDEN",,"institution",
"155665",,"0","false",,"","YESHIVA UNIV ALBERT EINSTEIN COLL MED,DEPT PATHOL,BRONX,NY 10461",,"19870401","","1","true","YESHIVA UNIV ALBERT EINSTEIN COLL MED,DEPT PATHOL,BRONX,NY 10461",,"institution",
"155666",,"0","false",,"","YESHIVA UNIV ALBERT EINSTEIN COLL MED",,"19870401","","1","true","YESHIVA UNIV ALBERT EINSTEIN COLL MED",,"institution",
"155664",,"0","false",,"","UNIV HOSP AMSTERDAM,DEPT PEDIAT,1105 AZ AMSTERDAM,NETHERLANDS",,"19870401","","1","true","UNIV HOSP AMSTERDAM,DEPT PEDIAT,1105 AZ AMSTERDAM,NETHERLANDS",,"institution",
"155669",,"0","false",,"","YESHIVA UNIV ALBERT EINSTEIN COLL MED,DEPT PEDIAT,BRONX,NY 10461",,"19870401","","1","true","YESHIVA UNIV ALBERT EINSTEIN COLL MED,DEPT PEDIAT,BRONX,NY 10461",,"institution",
"155670",,"0","false",,"","YESHIVA UNIV ALBERT EINSTEIN COLL MED,MARION BESSIN LIVER RES CTR,BRONX,NY 10461",,"19870401","","1","true","YESHIVA UNIV ALBERT EINSTEIN COLL MED,MARION BESSIN LIVER RES CTR,BRONX,NY 10461",,"institution",
"155667",,"0","false",,"","Albert Einstein College of Medicine",,"19870401","","3","true","Albert Einstein College of Medicine",,"institution",
"155668",,"0","false",,"","Yeshiva University",,"19870401","","4","true","Yeshiva University",,"institution",
"155673",,"0","false",,"","STATE UNIV UTRECHT",,"19870401","","1","true","STATE UNIV UTRECHT",,"institution",
"155671",,"0","false",,"","SHINSHU UNIV,SCH MED,MATSUMOTO,NAGANO 390,JAPAN",,"19870401","","1","true","SHINSHU UNIV,SCH MED,MATSUMOTO,NAGANO 390,JAPAN",,"institution",
"155672",,"0","false",,"","STATE UNIV UTRECHT,BIOCHEM LAB,3584 CH UTRECHT,NETHERLANDS",,"19870401","","1","true","STATE UNIV UTRECHT,BIOCHEM LAB,3584 CH UTRECHT,NETHERLANDS",,"institution",
"155675",,"0","false",,"","SAITAMA CANC CTR,DEPT BIOCHEM,INA,SAITAMA 362,JAPAN",,"19910405","","1","true","SAITAMA CANC CTR,DEPT BIOCHEM,INA,SAITAMA 362,JAPAN",,"institution",
"155685",,"0","false",,"","VET ADM WADSWORTH MED CTR,LOS ANGELES,CA 90073",,"19910815","","1","true","VET ADM WADSWORTH MED CTR,LOS ANGELES,CA 90073",,"institution",
"155686",,"0","false",,"","VET ADM WADSWORTH MED CTR",,"19910815","","1","true","VET ADM WADSWORTH MED CTR",,"institution",
"155683",,"0","false",,"","LOS ANGELES OUTPATIENT VET ADM FACIL,LOS ANGELES,CA 90013",,"19910815","","1","true","LOS ANGELES OUTPATIENT VET ADM FACIL,LOS ANGELES,CA 90013",,"institution",
"155684",,"0","false",,"","LOS ANGELES OUTPATIENT VET ADM FACIL",,"19910815","","1","true","LOS ANGELES OUTPATIENT VET ADM FACIL",,"institution",
"155689",,"0","false",,"","CITY HOPE NATL MED CTR",,"19910815","","1","true","CITY HOPE NATL MED CTR",,"institution",
"155687",,"0","false",,"","UNIV CALIF LOS ANGELES,SCH MED,LOS ANGELES,CA 90025",,"19910815","","1","true","UNIV CALIF LOS ANGELES,SCH MED,LOS ANGELES,CA 90025",,"institution",
"155688",,"0","false",,"","CITY HOPE NATL MED CTR,BECKMAN RES INT,DIV IMMUNOL,DUARTE,CA 91010",,"19910815","","1","true","CITY HOPE NATL MED CTR,BECKMAN RES INT,DIV IMMUNOL,DUARTE,CA 91010",,"institution",
"155697",,"0","false",,"","UNIV LAVAL,MED CTR,RES CTR,DEPT MOLEC ENDOCRINOL,2705 LAURIER BLVD,QUEBEC CITY G1V 4G2,QUEBEC,CANADA",,"19890801","","1","true","UNIV LAVAL,MED CTR,RES CTR,DEPT MOLEC ENDOCRINOL,2705 LAURIER BLVD,QUEBEC CITY G1V 4G2,QUEBEC,CANADA",,"institution",
"155698",,"0","false",,"","WASHINGTON UNIV,SCH MED,ST LOUIS,MO 63110",,"19890801","","1","true","WASHINGTON UNIV,SCH MED,ST LOUIS,MO 63110",,"institution",
"155699",,"0","false",,"","WASHINGTON UNIV",,"19890801","","3","true","WASHINGTON UNIV",,"institution",
"155703",,"0","false",,"","VET ADM MED CTR,E ORANGE,NJ 07019",,"19910215","","1","true","VET ADM MED CTR,E ORANGE,NJ 07019",,"institution",
"155709",,"0","false",,"","UNIV COLORADO, HLTH SCI CTR, DEPT MED, DENVER, CO 80262 USA",,"19910925","","1","true","UNIV COLORADO, HLTH SCI CTR, DEPT MED, DENVER, CO 80262 USA",,"institution",
"155708",,"0","false",,"","KAROLINSKA INST, DEPT PHYSIOL CHEM, S-10401 STOCKHOLM 60, SWEDEN",,"19910925","","1","true","KAROLINSKA INST, DEPT PHYSIOL CHEM, S-10401 STOCKHOLM 60, SWEDEN",,"institution",
"155717",,"0","false",,"","UNIV LAVAL,MED CTR,RES CTR,MOLEC ENDOCRINOL GRP,MRC,2705 LAURIER BOUL,QUEBEC CITY G1V 4G2,QUEBEC,CANADA",,"19891218","","1","true","UNIV LAVAL,MED CTR,RES CTR,MOLEC ENDOCRINOL GRP,MRC,2705 LAURIER BOUL,QUEBEC CITY G1V 4G2,QUEBEC,CANADA",,"institution",
"155722",,"0","false",,"","UNIV OSLO,SCH MED,INST NUTR,POB 1046,N-0316 OSLO 3,NORWAY",,"19890403","","1","true","UNIV OSLO,SCH MED,INST NUTR,POB 1046,N-0316 OSLO 3,NORWAY",,"institution",
"155723",,"0","false",,"","KAROLINSKA INST,HUDDINGE UNIV HOSP,DEPT CLIN CHEM,S-14104 HUDDINGE,SWEDEN",,"19890403","","1","true","KAROLINSKA INST,HUDDINGE UNIV HOSP,DEPT CLIN CHEM,S-14104 HUDDINGE,SWEDEN",,"institution",
"155724",,"0","false",,"","KAROLINSKA INST,HUDDINGE UNIV HOSP,RES CTR,S-14104 HUDDINGE,SWEDEN",,"19890403","","1","true","KAROLINSKA INST,HUDDINGE UNIV HOSP,RES CTR,S-14104 HUDDINGE,SWEDEN",,"institution",
