"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"245750",,"0","false",,"","Pfizer Global Res & Dev, Dept Gen Pharmacol, Groton, CT USA",,"20070601","","3","true","Pfizer Global Res & Dev, Dept Gen Pharmacol, Groton, CT USA",,"institution",
"245749",,"0","false",,"","Pfizer Global Res & Dev, Dept Biostat, Groton, CT USA",,"20070601","","3","true","Pfizer Global Res & Dev, Dept Biostat, Groton, CT USA",,"institution",
"245748",,"0","false",,"","Pfizer Global Res & Dev, Dept Cardiovasc & Metab & Endocrine Dis, Groton, CT USA",,"20070601","","3","true","Pfizer Global Res & Dev, Dept Cardiovasc & Metab & Endocrine Dis, Groton, CT USA",,"institution",
"237562",,"0","false",,"","Univ Utah",,"19990701","","21","true","Univ Utah",,"institution",
"237561",,"0","false",,"","Univ Utah, Dept Med, Salt Lake City, UT 84108 USA",,"20000401","","14","true","Univ Utah, Dept Med, Salt Lake City, UT 84108 USA",,"institution",
"245751",,"0","false",,"","Childrens Hosp, Philadelphia, PA 19104 USA",,"20070601","","3","true","Childrens Hosp, Philadelphia, PA 19104 USA",,"institution",
"237566",,"0","false",,"","Myriad Genet Inc",,"20000401","","14","true","Myriad Genet Inc",,"institution",
"245758",,"0","false",,"","UNIV MINNESOTA,SCH PUBL HLTH,DIV EPIDEMIOL,MINNEAPOLIS,MN 55455",,"19890101","","3","true","UNIV MINNESOTA,SCH PUBL HLTH,DIV EPIDEMIOL,MINNEAPOLIS,MN 55455",,"institution",
"237565",,"0","false",,"","Myriad Genet Inc, Salt Lake City, UT USA",,"20000401","","14","true","Myriad Genet Inc, Salt Lake City, UT USA",,"institution",
"245757",,"0","false",,"","UNIV MINNESOTA,SCH PUBL HLTH,DIV BIOMETRY,MINNEAPOLIS,MN 55455",,"19890101","","3","true","UNIV MINNESOTA,SCH PUBL HLTH,DIV BIOMETRY,MINNEAPOLIS,MN 55455",,"institution",
"237564",,"0","false",,"","Utah System of Higher Education",,"19930715","","24","true","Utah System of Higher Education",,"institution",
