"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"327667",,"0","false",,"","freiberg ms",,"20140101","","1","false","freiberg ms",,"author",
"327664",,"0","false",,"","stein jh",,"20140101","","1","false","stein jh",,"author",
"327663",,"0","false",,"","brown st",,"20140101","","1","false","brown st",,"author",
"327666",,"0","false",,"","justice ac",,"20140101","","1","false","justice ac",,"author",
"327665",,"0","false",,"","skanderson m",,"20140101","","1","false","skanderson m",,"author",
"327724",,"0","false",,"","tian xq",,"20141001","","1","false","tian xq",,"author",
"327723",,"0","false",,"","li q",,,"","0","false","li q",,"author",
"327726",,"0","false",,"","yang yj",,"20141001","","1","false","yang yj",,"author",
"327725",,"0","false",,"","qian hy",,"20141001","","1","false","qian hy",,"author",
"327722",,"0","false",,"","li n",,"20141001","","1","false","li n",,"author",
"327740",,"0","false",,"","kajiwara s",,"20140601","","1","false","kajiwara s",,"author",
"327739",,"0","false",,"","ugi s",,"20140601","","1","false","ugi s",,"author",
"327742",,"0","false",,"","iwakawa h",,"20140601","","1","false","iwakawa h",,"author",
"327741",,"0","false",,"","kurihara m",,"20140601","","1","false","kurihara m",,"author",
"327736",,"0","false",,"","ishikado a",,"20140601","","1","false","ishikado a",,"author",
"327735",,"1","false",,"","kondo k",,"20010224","","3","false","kondo k",,"author",
"327738",,"0","false",,"","nishio y",,"20140601","","1","false","nishio y",,"author",
"327737",,"0","false",,"","morino k",,"20140601","","1","false","morino k",,"author",
"327748",,"0","false",,"","sekine o",,"20140601","","1","false","sekine o",,"author",
"327747",,"0","false",,"","yoshizaki t",,"20140601","","1","false","yoshizaki t",,"author",
"327750",,"0","false",,"","maegawa h",,"20140601","","1","false","maegawa h",,"author",
"327749",,"1","false",,"","makino t",,"20031219","","2","false","makino t",,"author",
"327744",,"0","false",,"","uesaki s",,"20140601","","1","false","uesaki s",,"author",
"327743",,"0","false",,"","nakao k",,"20031120","","2","false","nakao k",,"author",
"327746",,"0","false",,"","imanaka h",,"20140601","","1","false","imanaka h",,"author",
"327745",,"0","false",,"","shigeta y",,"20140601","","1","false","shigeta y",,"author",
