"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"81904",,"0","false",,"","Univ Barcelona, Dept Nutr & Bromatol, Barcelona, Spain",,"20070611","","1","true","Univ Barcelona, Dept Nutr & Bromatol, Barcelona, Spain",,"institution",
"81903",,"0","false",,"","Catalan Inst Hlth",,"20070611","","1","true","Catalan Inst Hlth",,"institution",
"81906",,"0","false",,"","Univ Navarra, Dept Prevent Med & Publ Hlth, E-31080 Pamplona, Spain",,"20070611","","1","true","Univ Navarra, Dept Prevent Med & Publ Hlth, E-31080 Pamplona, Spain",,"institution",
"81905",,"2","false",,"","Univ Barcelona",,"20010601","","6","true","Univ Barcelona",,"institution",
"81908",,"1","false",,"","University of Navarra",,"19971201","","3","true","University of Navarra",,"institution",
"81907",,"0","false",,"","Univ Navarra",,"20070101","","2","true","Univ Navarra",,"institution",
"81910",,"0","false",,"","Hosp Txagorritxu",,"20070611","","1","true","Hosp Txagorritxu",,"institution",
"81909",,"0","false",,"","Hosp Txagorritxu, Dept Cardiol, Vitoria, Spain",,"20070611","","1","true","Hosp Txagorritxu, Dept Cardiol, Vitoria, Spain",,"institution",
"81912",,"0","false",,"","Consejo Super Invest Cient",,"20070611","","1","true","Consejo Super Invest Cient",,"institution",
"81911",,"0","false",,"","Consejo Super Invest Cient, Inst Grasa, Seville, Spain",,"20070611","","1","true","Consejo Super Invest Cient, Inst Grasa, Seville, Spain",,"institution",
"81914",,"0","false",,"","Univ Inst Hlth Sci Invest, Palma de Mallorca, Spain",,"20070611","","1","true","Univ Inst Hlth Sci Invest, Palma de Mallorca, Spain",,"institution",
"81913",,"0","false",,"","Univ Rovira & Virgili, Sch Med, Dept Human Nutr, E-43201 Reus, Spain",,"20070611","","1","true","Univ Rovira & Virgili, Sch Med, Dept Human Nutr, E-43201 Reus, Spain",,"institution",
"81916",,"0","false",,"","Inst Salud Carlos III, CIBER Fisiopatol Obesidad & Nutr, Madrid, Spain",,"20070611","","1","true","Inst Salud Carlos III, CIBER Fisiopatol Obesidad & Nutr, Madrid, Spain",,"institution",
"81915",,"0","false",,"","Univ Inst Hlth Sci Invest",,"20070611","","1","true","Univ Inst Hlth Sci Invest",,"institution",
"81917",,"0","false",,"","Inst Salud Carlos III, CIBER Epidemiol Epidemiol, Madrid, Spain",,"20070611","","1","true","Inst Salud Carlos III, CIBER Epidemiol Epidemiol, Madrid, Spain",,"institution",
"81922",,"0","false",,"","James J Peters VA Med Ctr, Dept Med 111, Bronx, NY 10468 USA",,"20070601","","1","true","James J Peters VA Med Ctr, Dept Med 111, Bronx, NY 10468 USA",,"institution",
"81924",,"0","false",,"","James J. Peters VA Medical Center",,"20070601","","1","true","James J. Peters VA Medical Center",,"institution",
"81923",,"0","false",,"","James J Peters VA Med Ctr",,"20070601","","1","true","James J Peters VA Med Ctr",,"institution",
"81926",,"0","false",,"","James J Peters VA Med Ctr, Bronx, NY USA",,"20070601","","1","true","James J Peters VA Med Ctr, Bronx, NY USA",,"institution",
"81925",,"0","false",,"","Mt Sinai Sch Med, Dept Med, New York, NY USA",,"20041001","","2","true","Mt Sinai Sch Med, Dept Med, New York, NY USA",,"institution",
"81934",,"0","false",,"","Univ N Carolina, Div Cardiol, Chapel Hill, NC 27599 USA",,"20070615","","1","true","Univ N Carolina, Div Cardiol, Chapel Hill, NC 27599 USA",,"institution",
"81935",,"0","false",,"","Cleveland Clin, Dept Cardiol, Cleveland, OH 44106 USA",,"20070615","","1","true","Cleveland Clin, Dept Cardiol, Cleveland, OH 44106 USA",,"institution",
"81956",,"2","false",,"","NIH",,"19920715","","2","true","NIH",,"institution",
"81955",,"1","false",,"","NIH, Dept Lab Med, Bethesda, MD 20892 USA",,"20070301","","1","true","NIH, Dept Lab Med, Bethesda, MD 20892 USA",,"institution",
"81958",,"1","false",,"","NHLBI, Vasc Med Branch, Bethesda, MD 20892 USA",,"20070301","","1","true","NHLBI, Vasc Med Branch, Bethesda, MD 20892 USA",,"institution",
"81957",,"1","false",,"","NHLBI, Cardiol Branch, Bethesda, MD 20892 USA",,"20070301","","1","true","NHLBI, Cardiol Branch, Bethesda, MD 20892 USA",,"institution",
"81960",,"1","false",,"","NIH, Ctr Clin, Bethesda, MD 20892 USA",,"20070301","","1","true","NIH, Ctr Clin, Bethesda, MD 20892 USA",,"institution",
"81959",,"2","false",,"","NHLBI, Off Biostat Res, Bethesda, MD 20892 USA",,"20011127","","2","true","NHLBI, Off Biostat Res, Bethesda, MD 20892 USA",,"institution",
"81962",,"1","false",,"","Suburban Hosp, Bethesda, MD USA",,"20070301","","1","true","Suburban Hosp, Bethesda, MD USA",,"institution",
"81961",,"1","false",,"","NIH Clinical Center (CC)",,"20070301","","1","true","NIH Clinical Center (CC)",,"institution",
"81963",,"1","false",,"","Suburban Hosp",,"20070301","","1","true","Suburban Hosp",,"institution",
"81974",,"0","false",,"","Lund Univ",,"20040601","","2","true","Lund Univ",,"institution",
"81973",,"0","false",,"","Lund Univ, Malmo Univ Hosp, Dept Med, S-22100 Lund, Sweden",,"20070601","","1","true","Lund Univ, Malmo Univ Hosp, Dept Med, S-22100 Lund, Sweden",,"institution",
"81976",,"0","false",,"","Lund Univ, Malmo Univ Hosp, Dept Radiol, S-22100 Lund, Sweden",,"20070601","","1","true","Lund Univ, Malmo Univ Hosp, Dept Radiol, S-22100 Lund, Sweden",,"institution",
"81975",,"0","false",,"","Lund University",,"20040601","","3","true","Lund University",,"institution",
"81994",,"0","false",,"","Sapporo Hlth Promot Ctr, Chuo Ku, Sapporo, Hokkaido 0600063, Japan",,"20070601","","1","true","Sapporo Hlth Promot Ctr, Chuo Ku, Sapporo, Hokkaido 0600063, Japan",,"institution",
"81996",,"0","false",,"","Asai Hokusho Univ, Ebetsu, Hokkaido, Japan",,"20070601","","1","true","Asai Hokusho Univ, Ebetsu, Hokkaido, Japan",,"institution",
"81995",,"0","false",,"","Sapporo Hlth Promot Ctr",,"20070601","","1","true","Sapporo Hlth Promot Ctr",,"institution",
"81997",,"0","false",,"","Asai Hokusho Univ",,"20070601","","1","true","Asai Hokusho Univ",,"institution",
"82001",,"0","false",,"","W Virginia Univ, Dept Community Med, Sch Med, Morgantown, WV 26506 USA",,"20070901","","1","true","W Virginia Univ, Dept Community Med, Sch Med, Morgantown, WV 26506 USA",,"institution",
"82006",,"0","false",,"","Vet Affairs Med Ctr, Patient Support Serv 119, Dept Pharm, W Palm Beach, FL 33410 USA",,"20070601","","1","true","Vet Affairs Med Ctr, Patient Support Serv 119, Dept Pharm, W Palm Beach, FL 33410 USA",,"institution",
"82007",,"1","false",,"","Vet Affairs Med Ctr",,"20040914","","3","true","Vet Affairs Med Ctr",,"institution",
"82034",,"0","false",,"","Univ Valladolid",,"20070101","","1","true","Univ Valladolid",,"institution",
"82033",,"0","false",,"","Univ Valladolid, Sch Med, Inst Endocrinol & Nutr, E-47130 Valladolid, Spain",,"20070101","","1","true","Univ Valladolid, Sch Med, Inst Endocrinol & Nutr, E-47130 Valladolid, Spain",,"institution",
"82036",,"0","false",,"","Univ Valladolid, Hosp Rio Hortega, Sch Med, Inst Endocrinol & Nutr,Unit Invest, Valladolid, Spain",,"20070101","","1","true","Univ Valladolid, Hosp Rio Hortega, Sch Med, Inst Endocrinol & Nutr,Unit Invest, Valladolid, Spain",,"institution",
"82035",,"0","false",,"","Universidad de Valladolid",,"20070101","","1","true","Universidad de Valladolid",,"institution",
"82046",,"0","false",,"","Arizona State Univ",,"20070601","","1","true","Arizona State Univ",,"institution",
"82045",,"0","false",,"","Arizona State Univ, Dept Exercise & Wellness, Mesa, AZ 85212 USA",,"20070601","","1","true","Arizona State Univ, Dept Exercise & Wellness, Mesa, AZ 85212 USA",,"institution",
"82048",,"0","false",,"","Univ Pittsburgh, Dept Epidemiol, Pittsburgh, PA 15261 USA",,"20070601","","1","true","Univ Pittsburgh, Dept Epidemiol, Pittsburgh, PA 15261 USA",,"institution",
"82047",,"0","false",,"","Arizona State University",,"20070601","","1","true","Arizona State University",,"institution",
"82049",,"0","false",,"","Univ Pittsburgh, Dept Med, Pittsburgh, PA 15261 USA",,"20070601","","1","true","Univ Pittsburgh, Dept Med, Pittsburgh, PA 15261 USA",,"institution",
"82072",,"0","false",,"","Tufts Univ, Jean Mayer US Dept Agr, Human Nutr Res Ctr Aging, Lipid Metab Lab, Boston, MA USA",,"20070801","","1","true","Tufts Univ, Jean Mayer US Dept Agr, Human Nutr Res Ctr Aging, Lipid Metab Lab, Boston, MA USA",,"institution",
"82074",,"0","false",,"","Tufts Univ, Jean Mayer US Dept Agr, Human Nutr Res Ctr Aging, Mass Spectrometry Lab, Boston, MA USA",,"20070801","","1","true","Tufts Univ, Jean Mayer US Dept Agr, Human Nutr Res Ctr Aging, Mass Spectrometry Lab, Boston, MA USA",,"institution",
"82073",,"0","false",,"","Tufts Univ, Jean Mayer US Dept Agr, Human Nutr Res Ctr Aging, Cardiovasc Nutr Lab, Boston, MA USA",,"20070801","","1","true","Tufts Univ, Jean Mayer US Dept Agr, Human Nutr Res Ctr Aging, Cardiovasc Nutr Lab, Boston, MA USA",,"institution",
"82076",,"0","false",,"","Tufts Univ, Friedman Sch Nutr Sci & Policy, Cardiovasc Res Lab, Boston, MA 02111 USA",,"20070801","","1","true","Tufts Univ, Friedman Sch Nutr Sci & Policy, Cardiovasc Res Lab, Boston, MA 02111 USA",,"institution",
"82075",,"0","false",,"","Univ Western Australia, Sch Med & Pharmacol, Perth, WA 6009, Australia",,"20070801","","1","true","Univ Western Australia, Sch Med & Pharmacol, Perth, WA 6009, Australia",,"institution",
"82084",,"0","false",,"","Gaubius Lab, Netherlands Org Appl Sci Res Qual Life, NL-2301 CE Leiden, Netherlands",,"20070801","","1","true","Gaubius Lab, Netherlands Org Appl Sci Res Qual Life, NL-2301 CE Leiden, Netherlands",,"institution",
"82086",,"0","false",,"","Leiden Univ, Med Ctr, Dept Gen Internal Med, NL-2300 RC Leiden, Netherlands",,"20070801","","1","true","Leiden Univ, Med Ctr, Dept Gen Internal Med, NL-2300 RC Leiden, Netherlands",,"institution",
"82085",,"0","false",,"","Gaubius Lab",,"20070801","","1","true","Gaubius Lab",,"institution",
"82088",,"0","false",,"","Leiden Univ, Med Ctr, Dept Metab Dis, NL-2300 RC Leiden, Netherlands",,"20070801","","1","true","Leiden Univ, Med Ctr, Dept Metab Dis, NL-2300 RC Leiden, Netherlands",,"institution",
"82087",,"0","false",,"","Leiden Univ, Med Ctr, Dept Endocrinol, NL-2300 RC Leiden, Netherlands",,"20070801","","1","true","Leiden Univ, Med Ctr, Dept Endocrinol, NL-2300 RC Leiden, Netherlands",,"institution",
"82090",,"0","false",,"","Leiden Amsterdam Ctr Drug Res, NL-2300 RA Leiden, Netherlands",,"20070801","","1","true","Leiden Amsterdam Ctr Drug Res, NL-2300 RA Leiden, Netherlands",,"institution",
"82089",,"0","false",,"","Leiden Univ, Med Ctr, Dept Cardiol, NL-2300 RC Leiden, Netherlands",,"20070801","","1","true","Leiden Univ, Med Ctr, Dept Cardiol, NL-2300 RC Leiden, Netherlands",,"institution",
"82092",,"0","false",,"","Div Biopharmaceut, NL-2300 RA Leiden, Netherlands",,"20070801","","1","true","Div Biopharmaceut, NL-2300 RA Leiden, Netherlands",,"institution",
"82091",,"0","false",,"","Leiden Amsterdam Ctr Drug Res",,"20070701","","2","true","Leiden Amsterdam Ctr Drug Res",,"institution",
"82094",,"0","false",,"","Erasmus Univ, Dept Internal Med, NL-3000 DR Rotterdam, Netherlands",,"20070801","","1","true","Erasmus Univ, Dept Internal Med, NL-3000 DR Rotterdam, Netherlands",,"institution",
"82093",,"0","false",,"","Div Biopharmaceut",,"20070801","","1","true","Div Biopharmaceut",,"institution",
"82096",,"1","false",,"","Erasmus University Rotterdam",,"20040901","","2","true","Erasmus University Rotterdam",,"institution",
"82095",,"0","false",,"","Erasmus Univ",,"20070801","","1","true","Erasmus Univ",,"institution",
"82102",,"0","false",,"","Guru Nanak Dev Univ",,"20070501","","1","true","Guru Nanak Dev Univ",,"institution",
"82101",,"0","false",,"","Guru Nanak Dev Univ, Dept Mol Biol & Biochem, Amritsar, Punjab, India",,"20070501","","1","true","Guru Nanak Dev Univ, Dept Mol Biol & Biochem, Amritsar, Punjab, India",,"institution",
"82104",,"0","false",,"","Govt Med Coll",,"20070501","","1","true","Govt Med Coll",,"institution",
"82103",,"0","false",,"","Govt Med Coll, Dept Biochem, Amritsar, Punjab, India",,"20070501","","1","true","Govt Med Coll, Dept Biochem, Amritsar, Punjab, India",,"institution",
"82114",,"0","false",,"","Kaohsiung Med Univ Hosp",,"20070501","","1","true","Kaohsiung Med Univ Hosp",,"institution",
"82113",,"0","false",,"","Kaohsiung Med Univ Hosp, Div Cardiol, Dept Internal Med, Kaohsiung 807, Taiwan",,"20070501","","1","true","Kaohsiung Med Univ Hosp, Div Cardiol, Dept Internal Med, Kaohsiung 807, Taiwan",,"institution",
"82116",,"0","false",,"","Kaohsiung Medical University",,"20070501","","1","true","Kaohsiung Medical University",,"institution",
"82115",,"0","false",,"","Chung Ho Memorial Hospital",,"20070501","","1","true","Chung Ho Memorial Hospital",,"institution",
"82118",,"0","false",,"","Kaohsiung Med Univ",,"20070501","","1","true","Kaohsiung Med Univ",,"institution",
"82117",,"0","false",,"","Kaohsiung Med Univ, Dept Cardiol, Fac Internal Med, Coll Med, Kaohsiung, Taiwan",,"20070501","","1","true","Kaohsiung Med Univ, Dept Cardiol, Fac Internal Med, Coll Med, Kaohsiung, Taiwan",,"institution",
"82132",,"0","false",,"","Cleveland Clin Fdn, Lerner Res Inst, Dept Cell Biol, Cleveland, OH 44195 USA",,"20070727","","1","true","Cleveland Clin Fdn, Lerner Res Inst, Dept Cell Biol, Cleveland, OH 44195 USA",,"institution",
"82133",,"1","false",,"","Cleveland Clin Fdn",,"20010816","","3","true","Cleveland Clin Fdn",,"institution",
"82138",,"0","false",,"","Natl Taiwan Ocean Univ",,"20070901","","1","true","Natl Taiwan Ocean Univ",,"institution",
"82137",,"0","false",,"","Natl Taiwan Ocean Univ, Dept Food Sci, Chilung 202, Taiwan",,"20070901","","1","true","Natl Taiwan Ocean Univ, Dept Food Sci, Chilung 202, Taiwan",,"institution",
"82140",,"0","false",,"","Natl Ilan Univ, Dept Food Sci, Chiba 260, Japan",,"20070901","","1","true","Natl Ilan Univ, Dept Food Sci, Chiba 260, Japan",,"institution",
"82139",,"0","false",,"","National Taiwan Ocean University",,"20070901","","1","true","National Taiwan Ocean University",,"institution",
"82141",,"0","false",,"","Natl Ilan Univ",,"20070901","","1","true","Natl Ilan Univ",,"institution",
"82154",,"0","false",,"","Vet Affairs Med Ctr, Mather, CA 95655 USA",,"20070801","","1","true","Vet Affairs Med Ctr, Mather, CA 95655 USA",,"institution",
"82160",,"1","false",,"","Univ Ioannina, Sch Med, Dept Internal Med, Ioannina 45110, Greece",,"20070501","","1","true","Univ Ioannina, Sch Med, Dept Internal Med, Ioannina 45110, Greece",,"institution",
"82162",,"2","false",,"","UCL Royal Free & Univ Coll, Sch Med, Dept Clin Biochem, London, England",,"20040501","","2","true","UCL Royal Free & Univ Coll, Sch Med, Dept Clin Biochem, London, England",,"institution",
"82161",,"1","false",,"","Univ Ioannina, Dept Chem, Biochem Lab, Ioannina, Greece",,"20070501","","1","true","Univ Ioannina, Dept Chem, Biochem Lab, Ioannina, Greece",,"institution",
"82164",,"4","false",,"","UCL Medical School",,"20040501","","5","true","UCL Medical School",,"institution",
"82163",,"3","false",,"","UCL Royal Free & Univ Coll",,"20040501","","3","true","UCL Royal Free & Univ Coll",,"institution",
"82174",,"1","false",,"","Istanbul Univ, Istanbul Fac Med, Dept Pharmacol & Clin Pharmacol, TR-34390 Istanbul, Turkey",,"20070501","","1","true","Istanbul Univ, Istanbul Fac Med, Dept Pharmacol & Clin Pharmacol, TR-34390 Istanbul, Turkey",,"institution",
"82176",,"1","false",,"","Cukurova Univ, Fac Med, Dept Cardiol, Adana, Turkey",,"20070501","","1","true","Cukurova Univ, Fac Med, Dept Cardiol, Adana, Turkey",,"institution",
"82175",,"1","false",,"","Istanbul Univ, Istanbul Fac Med, Dept Pharmacol & Clin Pharmacol, Istanbul, Turkey",,"20070501","","1","true","Istanbul Univ, Istanbul Fac Med, Dept Pharmacol & Clin Pharmacol, Istanbul, Turkey",,"institution",
"82178",,"1","false",,"","Cukurova University",,"20070501","","1","true","Cukurova University",,"institution",
"82177",,"1","false",,"","Cukurova Univ",,"20070501","","1","true","Cukurova Univ",,"institution",
"82180",,"1","false",,"","Ege Univ",,"20040601","","2","true","Ege Univ",,"institution",
"82179",,"1","false",,"","Ege Univ, Fac Med, Dept Cardiol, Izmir, Turkey",,"20070501","","1","true","Ege Univ, Fac Med, Dept Cardiol, Izmir, Turkey",,"institution",
"82182",,"1","false",,"","Dokuz Eylul Univ, Fac Med, Dept Cardiol, Izmir, Turkey",,"20070501","","1","true","Dokuz Eylul Univ, Fac Med, Dept Cardiol, Izmir, Turkey",,"institution",
"82181",,"1","false",,"","Ege University",,"20040601","","2","true","Ege University",,"institution",
"82184",,"1","false",,"","Dokuz Eylul University",,"20070501","","1","true","Dokuz Eylul University",,"institution",
"82183",,"1","false",,"","Dokuz Eylul Univ",,"20070501","","1","true","Dokuz Eylul Univ",,"institution",
"82186",,"1","false",,"","Uludag Univ",,"20070501","","1","true","Uludag Univ",,"institution",
"82185",,"1","false",,"","Uludag Univ, Fac Med, Dept Cardiol, Bursa, Turkey",,"20070501","","1","true","Uludag Univ, Fac Med, Dept Cardiol, Bursa, Turkey",,"institution",
