"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"401405",,"0","false",,"","Natl Chiao Tung Univ",,"20060206","","1","false","Natl Chiao Tung Univ",,"institution",
"401406",,"0","false",,"","National Chiao Tung University",,"20060206","","1","false","National Chiao Tung University",,"institution",
"401404",,"0","false",,"","Natl Chiao Tung Univ, Inst Nanotechnol, Hsinchu, Taiwan",,"20060206","","1","false","Natl Chiao Tung Univ, Inst Nanotechnol, Hsinchu, Taiwan",,"institution",
"401412",,"0","false",,"","Univ Palermo, Dept Clin Med & Emerging Dis, Palermo, Italy",,"20051001","","2","false","Univ Palermo, Dept Clin Med & Emerging Dis, Palermo, Italy",,"institution",
"401421",,"0","false",,"","Korea Inst Hlth & Social Affairs, Seoul, South Korea",,"20060616","","1","false","Korea Inst Hlth & Social Affairs, Seoul, South Korea",,"institution",
"401422",,"0","false",,"","Korea Inst Hlth & Social Affairs",,"20060616","","1","false","Korea Inst Hlth & Social Affairs",,"institution",
"401419",,"0","false",,"","Seoul National University",,"20060616","","1","false","Seoul National University",,"institution",
"401420",,"0","false",,"","Johns Hopkins Univ, Sch Nursing, Baltimore, MD 21218 USA",,"20060616","","1","false","Johns Hopkins Univ, Sch Nursing, Baltimore, MD 21218 USA",,"institution",
"401417",,"0","false",,"","Seoul Natl Univ, Div Epidemiol, Sch Publ Hlth, Seoul 110460, South Korea",,"20060616","","1","false","Seoul Natl Univ, Div Epidemiol, Sch Publ Hlth, Seoul 110460, South Korea",,"institution",
"401418",,"0","false",,"","Seoul Natl Univ",,"20060616","","1","false","Seoul Natl Univ",,"institution",
"401433",,"0","false",,"","Nanhua Univ, Sch Life Sci & Technol, Hengyang 421001, Peoples R China",,"20060201","","1","false","Nanhua Univ, Sch Life Sci & Technol, Hengyang 421001, Peoples R China",,"institution",
"401434",,"0","false",,"","Vanderbilt Univ, Med Ctr, Dept Pathol, Nashville, TN 37232 USA",,"19990801","","2","false","Vanderbilt Univ, Med Ctr, Dept Pathol, Nashville, TN 37232 USA",,"institution",
"401431",,"0","false",,"","Nanhua Univ, Inst Pharm & Pharmacol, Div Pharmacoproteom, Hengyang 421001, Peoples R China",,"20060201","","1","false","Nanhua Univ, Inst Pharm & Pharmacol, Div Pharmacoproteom, Hengyang 421001, Peoples R China",,"institution",
"401432",,"0","false",,"","Nanhua Univ",,"20060201","","1","false","Nanhua Univ",,"institution",
"401445",,"2","false",,"","Univ Kuopio",,"19991001","","6","false","Univ Kuopio",,"institution",
"401446",,"2","false",,"","University of Eastern Finland",,"19991001","","6","false","University of Eastern Finland",,"institution",
"401444",,"1","false",,"","Univ Kuopio, Dept Clin Nutr, FIN-70211 Kuopio, Finland",,"20000201","","2","false","Univ Kuopio, Dept Clin Nutr, FIN-70211 Kuopio, Finland",,"institution",
"401447",,"0","false",,"","Tufts Univ, Jean Mayer USDA Human Nutr Res Ctr Aging, Cardiovasc Nutr Lab, Boston, MA 02111 USA",,"20060101","","1","false","Tufts Univ, Jean Mayer USDA Human Nutr Res Ctr Aging, Cardiovasc Nutr Lab, Boston, MA 02111 USA",,"institution",
"401469",,"0","false",,"","Natl Publ Hlth Inst",,"20060501","","1","false","Natl Publ Hlth Inst",,"institution",
"401470",,"2","false",,"","Finland National Institute for Health & Welfare",,"19871112","","3","false","Finland National Institute for Health & Welfare",,"institution",
"401467",,"0","false",,"","Fdn Nutr Res",,"20060501","","1","false","Fdn Nutr Res",,"institution",
