"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"81920",,"0","false",,"","agarwal s",,"20070601","","1","false","agarwal s",,"author",
"81919",,"0","false",,"","mangat s",,"20070601","","1","false","mangat s",,"author",
"81921",,"0","false",,"","rosendorff c",,"20070601","","1","false","rosendorff c",,"author",
"81928",,"0","false",,"","gillespie mj",,"20070615","","1","false","gillespie mj",,"author",
"81930",,"0","false",,"","lambert nd",,"20070615","","1","false","lambert nd",,"author",
"81929",,"0","false",,"","davis cj",,"20070615","","1","false","davis cj",,"author",
"81932",,"0","false",,"","cohen mg",,"20070615","","1","false","cohen mg",,"author",
"81931",,"0","false",,"","costello fm",,"20070615","","1","false","costello fm",,"author",
"81933",,"0","false",,"","menon v",,"20070615","","1","false","menon v",,"author",
"81938",,"1","false",,"","powell tm",,"20070301","","1","false","powell tm",,"author",
"81937",,"1","false",,"","paul jd",,"20070301","","1","false","paul jd",,"author",
"81940",,"1","false",,"","benjamin m",,"20070301","","1","false","benjamin m",,"author",
"81939",,"1","false",,"","thompson m",,"20070301","","1","false","thompson m",,"author",
"81942",,"1","false",,"","carlow a",,"20070301","","1","false","carlow a",,"author",
"81941",,"1","false",,"","rodrigo m",,"20070301","","1","false","rodrigo m",,"author",
"81944",,"1","false",,"","shiva s",,"20070301","","1","false","shiva s",,"author",
"81943",,"1","false",,"","annavajjhala v",,"20070301","","1","false","annavajjhala v",,"author",
"81946",,"1","false",,"","gladwin mt",,"20070301","","1","false","gladwin mt",,"author",
"81945",,"1","false",,"","dejam a",,"20070301","","1","false","dejam a",,"author",
"81948",,"1","false",,"","zalos g",,"20070301","","1","false","zalos g",,"author",
"81947",,"1","false",,"","mccoy jp",,"20070301","","1","false","mccoy jp",,"author",
"81950",,"1","false",,"","murphy m",,"20070301","","1","false","murphy m",,"author",
"81949",,"1","false",,"","press b",,"20070301","","1","false","press b",,"author",
"81952",,"1","false",,"","csako g",,"20070301","","1","false","csako g",,"author",
"81951",,"1","false",,"","hill jm",,"20070301","","1","false","hill jm",,"author",
"81954",,"1","false",,"","cannon ro",,"20070301","","1","false","cannon ro",,"author",
"81953",,"1","false",,"","waclawiw ma",,"20070301","","1","false","waclawiw ma",,"author",
"81966",,"1","false",,"","hase t",,"20010701","","2","false","hase t",,"author",
"81965",,"0","false",,"","nagao t",,"20070615","","1","false","nagao t",,"author",
"81967",,"1","false",,"","tokimitsu i",,"20010701","","2","false","tokimitsu i",,"author",
"81970",,"0","false",,"","darwiche g",,"20070601","","1","false","darwiche g",,"author",
"81969",,"0","false",,"","hlebowicz j",,"20070601","","1","false","hlebowicz j",,"author",
