"SUID","citcount","ct_count","isExcludedFromPaths","level","meshterms","name","pmid","pubdate","pubtypes","score","selected","shared name","title","type","wosid"
"394525",,"1","false",,"","lozovoy mab",,"20140701","","1","false","lozovoy mab",,"author",
"394526",,"1","false",,"","dichi i",,"20140701","","1","false","dichi i",,"author",
"394523",,"1","false",,"","simao anc",,"20140701","","1","false","simao anc",,"author",
"394524",,"1","false",,"","morimoto hk",,"20140701","","1","false","morimoto hk",,"author",
"394522",,"1","false",,"","barreto fm",,"20140701","","1","false","barreto fm",,"author",
"394533",,"1","false",,"","bruckert e",,"20080901","","3","false","bruckert e",,"author",
"394534",,"0","false",,"","ferrieres j",,"20110601","","2","false","ferrieres j",,"author",
"394527",,"1","false",,"","miglioranza lhd",,"20140701","","1","false","miglioranza lhd",,"author",
"394541",,"0","false",,"","belmonte g",,"20140201","","1","false","belmonte g",,"author",
"394542",,"0","false",,"","miracco c",,"20140201","","1","false","miracco c",,"author",
"394540",,"0","false",,"","valacchi g",,"20060201","","2","false","valacchi g",,"author",
"394543",,"0","false",,"","eo h",,"20140201","","1","false","eo h",,"author",
"394544",,"0","false",,"","lim y",,"20140201","","1","false","lim y",,"author",
"394557",,"0","false",,"","zhang h",,"19950501","","4","false","zhang h",,"author",
"394558",,"0","false",,"","hillery ca",,"20140307","","1","false","hillery ca",,"author",
"394555",,"0","false",,"","ji x",,"20140307","","1","false","ji x",,"author",
"394556",,"0","false",,"","xu h",,"20140307","","1","false","xu h",,"author",
"394559",,"0","false",,"","gao hq",,"20140307","","1","false","gao hq",,"author",
"394560",,"0","false",,"","pritchard ka",,"20140307","","1","false","pritchard ka",,"author",
"394581",,"0","false",,"","tailleux a",,"20000413","","2","false","tailleux a",,"author",
"394582",,"0","false",,"","stein s",,"20140308","","1","false","stein s",,"author",
"394579",,"0","false",,"","arsiwala t",,"20140308","","1","false","arsiwala t",,"author",
"394580",,"0","false",,"","winnik s",,"20140308","","1","false","winnik s",,"author",
"394577",,"1","false",,"","van tits lj",,"20030412","","2","false","van tits lj",,"author",
"394578",,"0","false",,"","lohmann c",,"20140308","","1","false","lohmann c",,"author",
"394576",,"0","false",,"","miranda mx",,"20140308","","1","false","miranda mx",,"author",
"394589",,"0","false",,"","auwerx j",,"20140308","","1","false","auwerx j",,"author",
"394590",,"0","false",,"","schoonjans k",,"20140308","","1","false","schoonjans k",,"author",
"394587",,"0","false",,"","hottiger mo",,"20140308","","1","false","hottiger mo",,"author",
"394588",,"0","false",,"","sinclair da",,"20140308","","1","false","sinclair da",,"author",
"394585",,"0","false",,"","ellis jl",,"20140308","","1","false","ellis jl",,"author",
"394586",,"0","false",,"","lutz ta",,"20140308","","1","false","lutz ta",,"author",
"394583",,"0","false",,"","gomes ap",,"20140308","","1","false","gomes ap",,"author",
"394584",,"0","false",,"","suri v",,"20140308","","1","false","suri v",,"author",
"394597",,"0","false",,"","yu bl",,"20140401","","1","false","yu bl",,"author",
"394598",,"0","false",,"","peng dq",,"20140401","","1","false","peng dq",,"author",
"394596",,"0","false",,"","zhao sp",,"20131115","","4","false","zhao sp",,"author",
"394593",,"0","false",,"","matter cm",,"20140308","","1","false","matter cm",,"author",
"394591",,"0","false",,"","staels b",,"20081011","","4","false","staels b",,"author",
"394592",,"1","false",,"","luscher tf",,"20000301","","2","false","luscher tf",,"author",
"394599",,"0","false",,"","huo y",,"20140401","","1","false","huo y",,"author",
"394613",,"0","false",,"","vuilleumier n",,"20140501","","1","false","vuilleumier n",,"author",
"394614",,"0","false",,"","montecucco f",,"20140501","","1","false","montecucco f",,"author",
"394611",,"0","false",,"","brunelli c",,"20140501","","1","false","brunelli c",,"author",
"394612",,"0","false",,"","mach f",,"20140501","","1","false","mach f",,"author",
"394609",,"0","false",,"","parodi a",,"20140501","","1","false","parodi a",,"author",
"394610",,"0","false",,"","massimelli ea",,"20140501","","1","false","massimelli ea",,"author",
"394607",,"0","false",,"","rosa gm",,"20140501","","1","false","rosa gm",,"author",
"394608",,"0","false",,"","carbone f",,"20140501","","1","false","carbone f",,"author",
"394629",,"1","false",,"","raal fj",,"19950501","","5","false","raal fj",,"author",
"394630",,"0","false",,"","roth em",,"20140901","","1","false","roth em",,"author",
"394627",,"1","false",,"","giugliano rp",,"20080906","","5","false","giugliano rp",,"author",
"394628",,"1","false",,"","koren mj",,"20051201","","4","false","koren mj",,"author",
"394626",,"4","false",,"","stein ea",,"19950101","","9","false","stein ea",,"author",
"394637",,"0","false",,"","liu t",,"20131031","","3","false","liu t",,"author",
"394638",,"1","false",,"","albizem m",,"20140211","","2","false","albizem m",,"author",
"394635",,"0","false",,"","kim jb",,"20110901","","3","false","kim jb",,"author",
"394636",,"0","false",,"","yang jy",,"20081228","","2","false","yang jy",,"author",
"394633",,"1","false",,"","wasserman sm",,"20131121","","3","false","wasserman sm",,"author",
"394634",,"0","false",,"","somaratne r",,"20131121","","2","false","somaratne r",,"author",
"394631",,"0","false",,"","weiss r",,,"","0","false","weiss r",,"author",
"394632",,"0","false",,"","sullivan d",,,"","0","false","sullivan d",,"author",
"394641",,"0","false",,"","proficio investigators",,"20140901","","1","false","proficio investigators",,"author",
"394639",,"2","false",,"","scott r",,"20110615","","4","false","scott r",,"author",
"394640",,"1","false",,"","sabatine ms",,"20131121","","3","false","sabatine ms",,"author",
"394669",,"0","false",,"","williamson dl",,"20140304","","1","false","williamson dl",,"author",
"394670",,"0","false",,"","rideout tc",,"20140106","","2","false","rideout tc",,"author",
"394667",,"0","false",,"","li zy",,"20110621","","3","false","li zy",,"author",
"394668",,"0","false",,"","patel ms",,"20140304","","1","false","patel ms",,"author",
"394665",,"0","false",,"","zigouras s",,"20140304","","1","false","zigouras s",,"author",
"394666",,"0","false",,"","browne rw",,"20140106","","2","false","browne rw",,"author",
"394663",,"0","false",,"","carrier b",,"20140304","","1","false","carrier b",,"author",
"394664",,"0","false",,"","wen s",,"20140304","","1","false","wen s",,"author",
"394681",,"0","false",,"","leffler cw",,"20140501","","1","false","leffler cw",,"author",
"394682",,"0","false",,"","fedinec a",,"20140501","","1","false","fedinec a",,"author",
"394679",,"0","false",,"","bukiya a",,"20140501","","1","false","bukiya a",,"author",
"394680",,"0","false",,"","dopico am",,"20140501","","1","false","dopico am",,"author",
"394693",,"0","false",,"","oliveras lopez mj",,"20140304","","1","false","oliveras lopez mj",,"author",
"394694",,"0","false",,"","blanca herrera rm",,"20140304","","1","false","blanca herrera rm",,"author",
"394691",,"0","false",,"","lopez-g de la serrana h",,"20140304","","1","false","lopez-g de la serrana h",,"author",
"394692",,"0","false",,"","palomares-bayo m",,"20111201","","2","false","palomares-bayo m",,"author",
"394689",,"0","false",,"","navarro-alarcon m",,"20111201","","2","false","navarro-alarcon m",,"author",
"394690",,"0","false",,"","del moral lm",,"20111201","","2","false","del moral lm",,"author",
"394688",,"0","false",,"","reina de la torre ml",,"20140304","","1","false","reina de la torre ml",,"author",
"394702",,"0","false",,"","jankovic a",,"20140501","","1","false","jankovic a",,"author",
"394699",,"0","false",,"","mia ar",,"20131203","","2","false","mia ar",,"author",
"394700",,"0","false",,"","rabbi sf",,"20140304","","1","false","rabbi sf",,"author",
"394697",,"0","false",,"","rabeya s",,"20140304","","1","false","rabeya s",,"author",
"394698",,"0","false",,"","muttalib ma",,"20140304","","1","false","muttalib ma",,"author",
"394695",,"0","false",,"","agil a",,"19950501","","3","false","agil a",,"author",
"394709",,"0","false",,"","markelic m",,"20140501","","1","false","markelic m",,"author",
"394710",,"0","false",,"","velickovic k",,"20140501","","1","false","velickovic k",,"author",
"394707",,"0","false",,"","stancic a",,"20140501","","1","false","stancic a",,"author",
