,pmid,pubdays
0,24014831,41581.0
1,23141813,41249.0
2,12034651,37402.0
3,,
4,,40255.0
5,16141286,38655.0
6,12813012,37771.0
7,,
8,23375686,41363.0
9,17727860,39323.0
10,9430375,35809.0
11,23060426,41193.0
12,,41277.0
13,,41095.0
14,,41077.0
15,23559630,41454.0
16,21986285,40860.0
17,,39659.0
18,23129602,41224.0
19,,41260.0
20,23537802,41363.0
21,22881376,41151.0
22,18940291,39751.0
23,9205036,35610.0
24,12730697,37771.0
25,17215532,39091.0
26,23141812,41249.0
27,19217514,39859.0
28,24662398,41758.0
29,19020338,39771.0
30,23603824,41454.0
31,,
32,,
33,24481874,41728.0
34,23733968,41427.0
35,,40662.0
36,,
37,24255061,41597.0
38,21873710,40783.0
39,21307610,40542.0
40,,40116.0
41,,40289.0
42,22818564,41151.0
43,,35017.0
44,22902202,41154.0
45,15755765,38447.0
46,,
47,,41304.0
48,,41607.0
49,,
50,21817821,40815.0
51,,38670.0
52,17011942,38959.0
53,19443683,39947.0
54,11034966,36798.0
55,,37010.0
56,21067804,40493.0
57,24678979,41765.0
58,23371064,41332.0
59,23083772,41217.0
60,22811413,41242.0
61,,32566.0
62,24474185,41700.0
63,24509273,41679.0
64,23113833,41226.0
65,24477778,41668.0
66,24694531,41731.0
67,24691094,41805.0
68,,38291.0
69,16875966,38928.0
70,20032323,40169.0
71,,
72,20733114,40412.0
73,19141093,39932.0
74,22085343,40890.0
75,25282519,41916.0
76,,40085.0
77,,
78,16554528,38797.0
79,,40904.0
80,15178557,38198.0
81,,39999.0
82,15172426,38138.0
83,22714699,41089.0
84,9874053,36163.0
85,,
86,1888927,33451.0
87,,40160.0
88,19576317,39993.0
89,,39902.0
90,18191683,39457.0
91,15654334,38368.0
92,21492764,40647.0
93,22065156,40854.0
94,16989838,38981.0
95,,40867.0
96,10704623,36591.0
97,,36102.0
98,18772061,39695.0
99,,39299.0
100,20375883,40358.0
101,16226163,38641.0
102,22261195,40958.0
103,16214597,38631.0
104,,40503.0
105,20177011,40230.0
106,20579540,40349.0
107,,40846.0
108,17215125,39112.0
109,,40993.0
110,16909389,38959.0
111,,38959.0
112,,
113,16453090,38749.0
114,19351729,39993.0
115,19528564,39978.0
116,,
117,16490577,38716.0
118,16581333,38822.0
119,,39253.0
120,16630994,38823.0
121,10408999,36356.0
122,21102326,40506.0
123,17449864,39262.0
124,,39324.0
125,16344427,38696.0
126,,36514.0
127,10535997,36457.0
128,2342536,33036.0
129,15118091,38109.0
130,10022791,36218.0
131,23722477,41516.0
132,,
133,20619837,40420.0
134,21596380,40693.0
135,23183941,41239.0
136,,38471.0
137,11024134,36829.0
138,,41511.0
139,24079289,41546.0
140,9603539,35942.0
141,,
142,24825642,41773.0
143,23128163,41218.0
144,11434393,37010.0
145,21545982,40737.0
146,18840879,39751.0
147,15259385,37985.0
148,3477815,32049.0
149,19818960,40097.0
150,21291692,39293.0
151,20451687,40311.0
152,4337382,26449.0
153,4188273,25202.0
154,20965889,40511.0
155,,39628.0
156,,30315.0
157,,37559.0
158,,33521.0
159,19001495,39763.0
160,10764678,36615.0
161,,36429.0
162,12552133,37654.0
163,11756446,37342.0
164,,36279.0
165,8970741,35063.0
166,21149300,40525.0
167,19224862,39918.0
168,19732566,40062.0
169,21813713,40815.0
170,18436719,39598.0
171,17765244,39327.0
172,20498851,40313.0
173,17608623,39324.0
174,22081141,40876.0
175,,41042.0
176,21147780,40525.0
177,17870468,39293.0
178,20525997,40420.0
179,19687008,40042.0
180,14512514,37906.0
181,17080197,39020.0
182,,40981.0
183,16224054,38685.0
184,15677715,38389.0
185,20048381,40182.0
186,17242417,39171.0
187,,39477.0
188,21771976,40815.0
189,17593912,39293.0
190,,38989.0
191,19060325,39789.0
192,20716520,40481.0
193,17502100,39201.0
194,19713274,40116.0
195,17537735,39281.0
196,17328821,39140.0
197,18033751,39408.0
198,18695239,39677.0
199,15099351,38106.0
200,21324305,40611.0
201,18354138,39598.0
202,18547436,39608.0
203,19571328,39995.0
204,16912035,39001.0
205,18675252,39729.0
206,12897189,37924.0
207,19628659,40055.0
208,20453200,40420.0
209,22207727,40906.0
210,18250299,39488.0
211,14727179,38045.0
212,17495605,39232.0
213,22108858,40869.0
214,18666258,39659.0
215,18799458,39764.0
216,15805190,38452.0
217,20937814,40534.0
218,22294692,40996.0
219,21040917,40511.0
220,19196236,39932.0
221,18354137,39598.0
222,17142622,39050.0
223,18649882,39652.0
224,21518694,40723.0
225,22679642,41028.0
226,20959675,40470.0
227,17461796,39198.0
228,15741654,38502.0
229,16424354,38836.0
230,,40100.0
231,22027821,40891.0
232,16407292,38784.0
233,,40938.0
234,19001363,39763.0
235,17645871,39344.0
236,19081568,39797.0
237,,
238,15385538,38315.0
239,17435765,39201.0
240,16211558,38631.0
241,,40511.0
242,18753623,39691.0
243,17702855,39354.0
244,17493938,39274.0
245,15358785,38308.0
246,21943799,40813.0
247,24950000,41850.0
248,23898048,41484.0
249,17984165,39406.0
250,16326978,38690.0
251,9374126,35702.0
252,,39422.0
253,,40511.0
254,16487747,38767.0
255,,39781.0
256,1465622,33907.0
257,19958854,40146.0
258,23126252,41240.0
259,22130116,40877.0
260,22977305,41165.0
261,,41231.0
262,,39993.0
263,19917065,40133.0
264,21841206,40846.0
265,21205945,40542.0
266,19148539,39843.0
267,9576422,35904.0
268,,40876.0
269,,
270,23801661,41546.0
271,,41273.0
272,,41231.0
273,,40967.0
274,,32903.0
275,21347617,40693.0
276,19063703,39790.0
277,17942826,39372.0
278,23427282,41393.0
279,19185645,39843.0
280,3513311,31504.0
281,23172660,41234.0
282,,40177.0
283,11994249,37381.0
284,16857673,38980.0
285,17303406,39171.0
286,8354960,34119.0
287,7806977,34576.0
288,2794785,32688.0
289,,31698.0
290,3464957,31715.0
291,,32172.0
292,,33237.0
293,,34088.0
294,2295691,32872.0
295,2989830,31046.0
296,,33300.0
297,6147231,30680.0
298,3958185,31501.0
299,,33115.0
300,3411236,32262.0
301,,34133.0
302,3558822,31866.0
303,3707433,31531.0
304,2586614,32833.0
305,2297517,32887.0
306,8440695,34023.0
307,,33418.0
308,1479291,33937.0
309,1730048,33604.0
310,3724517,31411.0
311,2215607,33176.0
312,2040599,33402.0
313,3937535,31380.0
314,2049390,33390.0
315,8499401,34119.0
316,,32688.0
317,6712775,30740.0
318,1988006,33237.0
319,8316302,34149.0
320,3190815,32415.0
321,,32246.0
322,2713392,32641.0
323,1521329,33632.0
324,2200802,33084.0
325,7381326,29219.0
326,826537,27758.0
327,46338,27396.0
328,,
329,67464,28250.0
330,4340182,26297.0
331,173994,27758.0
332,,
333,13672998,21761.0
334,81362,28489.0
335,,27393.0
336,15400638,18262.0
337,197127,28397.0
338,228738,29152.0
339,,
340,4377101,27028.0
341,,27028.0
342,14794694,18566.0
343,,28489.0
344,5696963,24836.0
345,191215,28244.0
346,206278,28489.0
347,199205,28397.0
348,206269,28520.0
349,193851,28284.0
350,210174,28741.0
351,181140,27758.0
352,518896,29205.0
353,195628,28124.0
354,4138628,27332.0
355,13252080,20331.0
356,,
357,4359204,27028.0
358,14938387,19052.0
359,21839683,40815.0
360,21266551,40601.0
361,,38438.0
362,20075420,40267.0
363,20616715,40389.0
364,,33754.0
365,10607703,36515.0
366,12106834,37450.0
367,16968945,38959.0
368,10964930,36852.0
369,19610670,40041.0
370,,40146.0
371,19233866,39932.0
372,12679198,37712.0
373,20480549,40328.0
374,9327755,35672.0
375,20196739,40239.0
376,16061948,38624.0
377,18271871,39506.0
378,12920049,37893.0
379,16046400,38616.0
380,19033213,39777.0
381,18593575,39678.0
382,16505860,38775.0
383,19797709,40087.0
384,11145929,36890.0
385,14966566,38033.0
386,20863394,40442.0
387,19153411,39831.0
388,17761631,39385.0
389,19243471,39869.0
390,18789492,39705.0
391,17332893,39140.0
392,,
393,21109246,40507.0
394,,38802.0
395,16226682,38624.0
396,18924609,39751.0
397,18261682,39488.0
398,10511287,36371.0
399,18375481,39567.0
400,12969988,37893.0
401,19903920,40127.0
402,17868679,39341.0
403,20337657,40358.0
404,18822413,39719.0
405,9792113,36081.0
406,15388521,38290.0
407,,
408,,39295.0
409,14592845,37924.0
410,,36190.0
411,15107497,38102.0
412,15284087,38259.0
413,21226578,40554.0
414,19325143,39963.0
415,19839639,40105.0
416,18316036,39567.0
417,18827283,39721.0
418,16904539,38942.0
419,16269660,38659.0
420,20718489,40450.0
421,19050741,39784.0
422,12775579,37801.0
423,17569880,39293.0
424,,35270.0
425,20581677,40389.0
426,2434601,31835.0
427,7278881,29585.0
428,5131013,26205.0
429,4871465,24867.0
430,4139038,27362.0
431,,23741.0
432,,29585.0
433,7142705,30284.0
434,4010784,31046.0
435,,30315.0
436,6736654,30680.0
437,6191268,30315.0
438,2430044,31715.0
439,,25202.0
440,2414656,31319.0
441,658117,28489.0
442,7119443,29950.0
443,,29219.0
444,3932633,31319.0
445,,25567.0
446,4631607,26357.0
447,6699432,30680.0
448,2429191,31685.0
449,4137315,27028.0
450,14450081,22769.0
451,682076,28701.0
452,4795397,26906.0
453,4957633,24045.0
454,6175244,29903.0
455,6319954,30711.0
456,12543708,37620.0
457,11901146,37398.0
458,11463788,37167.0
459,,36782.0
460,11278771,36978.0
461,10360171,36279.0
462,1985920,33241.0
463,10968783,36768.0
464,,36371.0
465,7753868,34826.0
466,2722778,32641.0
467,,34910.0
468,8939997,35396.0
469,6079762,24652.0
470,12193651,37500.0
