,pmid,pubdays
1,23141813,41249.0
2,12034651,37402.0
10,9430375,35809.0
11,23060426,41193.0
18,23129602,41224.0
25,17215532,39091.0
26,23141812,41249.0
33,24481874,41728.0
45,15755765,38447.0
50,21817821,40815.0
57,24678979,41765.0
59,23083772,41217.0
63,24509273,41679.0
64,23113833,41226.0
65,24477778,41668.0
66,24694531,41731.0
67,24691094,41805.0
75,25282519,41916.0
83,22714699,41089.0
88,19576317,39993.0
94,16989838,38981.0
121,10408999,36356.0
142,24825642,41773.0
143,23128163,41218.0
144,11434393,37010.0
178,20525997,40420.0
192,20716520,40481.0
202,18547436,39608.0
283,11994249,37381.0
329,67464,28250.0
366,12106834,37450.0
397,18261682,39488.0
418,16904539,38942.0
888,7584986,35002.0
897,10856535,36676.0
909,25282520,41916.0
924,16574893,38867.0
943,12714796,37620.0
963,11890840,37314.0
976,12707064,37710.0
982,11900994,37345.0
989,12457784,37581.0
1006,12205648,37498.0
1085,9613910,35949.0
1094,12076217,37427.0
1096,9841303,36132.0
1104,12814712,37790.0
1113,9024733,35429.0
1114,15007110,38054.0
1129,11434828,37074.0
1139,15071125,38083.0
1152,17076985,39020.0
1155,11757504,37259.0
1159,3782631,31745.0
1160,2243429,33224.0
1165,21526889,40661.0
1190,22870195,41120.0
1192,15777554,38441.0
1197,12423708,37573.0
1201,15194018,38151.0
1202,11034935,36814.0
1203,12236852,37498.0
1204,15887425,38471.0
1205,15893181,38487.0
1210,12370217,37536.0
1257,12056584,37375.0
1262,8378944,34241.0
1263,7762498,34849.0
1267,9699905,35975.0
1270,8967704,35412.0
1277,12480357,37595.0
1283,9804518,36037.0
1286,11948705,37356.0
1289,9050781,35469.0
1296,7605389,34811.0
1300,9139617,35154.0
1307,14663598,37963.0
1345,15522126,38259.0
1360,2923084,32566.0
1380,7749825,34729.0
1385,1770314,33449.0
1388,8466895,34058.0
1397,7937827,34616.0
1400,8622332,35145.0
1410,15768833,38426.0
1533,9239399,35641.0
